"Comparison of Integrated Shield Plan Premiums for Singapore Citizen (SC) and Permanent Resident (PR) Policyholder (Rounded to nearest $, inclusive of GST)",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,,,,
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,289 - 343,141 - 195,3.8% to 3.9%,367 - 378,219 - 230,9.3% to 16.6%
21 to 30,431,176,3.9%,504 - 522,249 - 267,9.8% to 12.4%
31 to 40,649 - 661,252 - 264,3.8%,757 - 770,360 - 373,7.9% to 8.0%
41 to 50,894 - 955,359 - 420,3.8% to 3.9%,"1,335 - 1,544","800 - 1,009",7.8% to 10.1%
51 to 60,"1,350 - 1,382",535 - 567,3.9%,"2,135 - 2,502","1,320 - 1,687",13.5% to 14.5%
61 to 65,"2,018",979,3.9%,"3,301","2,262",12.7%
66 to 70,"2,564","1,443",3.9%,"4,269","3,148",12.0%
71 to 73,"3,332","2,115",3.9%,"5,349","4,132",10.0%
74 to 75,"3,833","2,488",3.9%,"6,064","4,719",10.1%
76 to 78,"4,502","2,943",3.9%,"6,877","5,318",10.1%
79 to 80,"4,929","3,309",3.9%,"7,610","5,990",10.0%
81 to 83,"4,749","3,043",3.9%,"8,002","6,296",10.1%
84 to 85,"5,477","3,506",3.9%,"9,122","7,151",10.8%
86 to 90,"6,146 - 6,516","4,083 - 4,453",3.9%,"9,899 - 10,651","7,836 - 8,588",10.1%
Premiums above age 90,"6,915 - 8,554","4,822 - 6,461",3.9%,"11,261 - 13,156","9,168 - 11,063",10.2% to 11.6%
