Unnamed: 0,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,209,61,0.6%,217,69,0.6%
21 to 30,326,71,0.6%,326,71,0.6%
31 to 40,501,104,0.6%,501,104,0.6%
41 to 50,662,127,0.6%,700 - 738,165 - 203,0.6%
51 to 60,"973 - 1,007",158 - 192,0.6%,"1,034 - 1,057",219 - 242,0.6%
61 to 65,"1,312",273,0.6%,"1,406",367,0.6%
66 to 70,"1,513",392,0.6%,"1,712",591,0.6%
71 to 73,"1,888",671,0.6%,"2,093",876,0.6%
74 to 75,"2,127",782,0.6%,"2,374","1,029",0.6%
76 to 78,"2,486",927,0.6%,"2,954","1,395",0.6%
79 to 80,"2,642","1,022",0.6%,"3,015","1,395",0.6%
81 to 83,"2,761","1,055",0.6%,"3,151","1,445",0.6%
84 to 85,"3,030","1,059",0.6%,"3,465","1,494",0.6%
86 to 90,"3,177","1,114",0.6%,"3,723 - 3,993","1,660 - 1,930",0.6%
Premiums above age 90,"3,207 - 3,565","1,114 - 1,472",0.6%,"4,203 - 4,907","2,110 - 2,814",0.6%
