"Comparison of Integrated Shield Plan Premiums for Singapore Citizen (SC) and Permanent Resident (PR) Policyholder (Rounded to nearest $, inclusive of GST)",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,,,,
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,186 - 194,38 - 46,0.6%,197 - 206,49 - 58,0.6%
21 to 30,301,46,0.6%,314 - 332,59 - 77,0.6%
31 to 40,462,65,0.6%,475 - 498,78 - 101,0.6%
41 to 50,655,120,0.6%,678 - 694,143 - 159,0.6%
51 to 60,"1,024",209,8.2%,"1,044 - 1,133",229 - 318,0.6%
61 to 65,"1,377 - 1,424",338 - 385,3.7% to 8.3%,"1,391 - 1,576",352 - 537,0.6%
66 to 70,"1,711 - 1,791",590 - 670,3.9% to 8.4%,"1,717 - 2,027",596 - 906,0.6%
71 to 73,"2,160 - 2,290","943 - 1,073",3.8% to 8.4%,"2,185 - 2,321","968 - 1,104",0.6%
74 to 75,"2,495 - 2,596","1,150 - 1,251",5.4% to 8.4%,"2,526 - 2,606","1,181 - 1,261",0.6%
76 to 78,"2,867 - 2,923","1,308 - 1,364",6.9% to 8.4%,"2,907 - 3,096","1,348 - 1,537",0.6%
79 to 80,"3,210","1,590",8.4%,"3,263 - 3,379","1,643 - 1,759",0.6%
81 to 83,"3,327","1,621",8.4%,"3,518 - 3,629","1,812 - 1,923",0.6%
84 to 85,"3,735","1,764",8.4%,"3,951 - 4,011","1,980 - 2,040",0.6%
86 to 90,"4,113 - 4,370","2,050 - 2,307",2.3% to 5.4%,"4,165 - 4,428","2,102 - 2,365",0.6%
Premiums above age 90,"4,501 - 5,239","2,408 - 3,146",4.8% to 8.4%,"4,530 - 5,274","2,437 - 3,181",0.6%
